Title
EXPERIENCED BIM PROJECT MANAGER
DRAFTER
JUNIOR ARCHITECT/DRAFTSPERSON
Landscape Designer
"Architect / Junior Architect (City Hall, NYC)"
Facade / Building Envelope Project Architect or Engineer
Exterior Restoration / Recent Graduate
Facade / Building Envelope Engineer or Architect
Civil Engineer
Project Plan Administrator for Estimating Department
Construction Site Safety
Construction Project Manager
ARCHITECTURAL DESIGNER/AUTO CAD DRAFTERS
Mechanical & Electrical Engineers -Entry or Mid level (Full Time)
CNC operator
Draftsperson Detailer
Plumbing/Fire Protection Engineer
Plumbing/ Fire Protection Engineer
Part-time architectural and interior designer draftsperson
PLUMBING FIRE PROTECTION DESIGN/ENGINEERS
Graphic Designer with Brand Development/ Marketing Background
Tech Integrator Seeking Architect
General Construction Estimator
Event Designer
Interior Designer
Construction Site Supervisor
Administrative/Design/Office Assistant
Expeditor DOB filling representative class 2 lic.
Junior Architect
Junior Architectural Designer | Luxury Retail
Hotel Mechanic
Intermediate Architect
"Estimator - Structural Steel Erection - Queens, NY"
Junior Architect - 2 - 5 Years Experience
Project Architect(s)
Construction Project Engineer
Construction Administrative Assistant
Architect/Designer
Senior Project Architect
Junior Construction Project Manager | Healthcare Facilities
BIM: SYNCHRO - NAVIS - SKETCHUP --- 4-D SEQUENCING WITH SYNCHRO
Junior Architect/ Designer
Construction Administrator
Upholster Needed
Mechanical Design Engineering
Civil Engineer/ Architect/ Construction Estimator - Near LIRR
Intermediate/Senior Architect | Aviation/Airport Projects
Seeking Project Manager / Office Manager for Contractor & Design Firm
Architect
Assistant Construction Estimator/ Assistant Project Manager
Metal and Glass Fabricators Seeking Estimator & AutoCAD Draftsman
Senior Engineer
Preservation/Exterior Envelope Project Manager
CAD DRAFTING NEEDED
Construction Project Manager
Preservation/Exterior Envelope Project Architect
Mechanical Engineer & Product Designer
Draftsperson / Architectural Woodwork
Construction Project Manager
EXPEDITER WANTED CLASS 2
Healthcare Architect
Data Science Engineer
ADMINISTRATIVE ASSIST
Junior/Intermediate Architect
ARCHITECT  - REVIT DRAFTER
Intern/Entry Level Drafting position
Solar Support Engineer
Senior Project Architect
◄◄  FREE-LANCE SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR PROJECT
Executive Assistant with strong sales and marketing background
MECHANICAL ENGINEER &/or PLUMBING ENGINEER -WORK FROM HOME OPPORTUNITY
Project Manager
INTERIOR DESIGNER - Corporate Interiors
MECHANICAL DESIGN ENGINEER - EXPERT IN SOLIDWORKS OR PROE
Facade / Building Envelope Project Architect or Engineer
Exterior Restoration / Recent Graduate
Facade / Building Envelope Engineer or Architect
Miscellaneous Steel Detailer
architect
JR Estimator/Quantity Surveyor
Architectural / Interior Design Internship
Architectural Draftsperson/Project Manager
Seeking Full Time Structural Engineer
Assistant Project Manager for Design Company
Project Engineer For Construction
Sr. Electrical Engineer
EXPERIENCE CONSTRUCTION ENGINEER NEEDED FOR BUSY QUEENS OFFICE
Construction Estimator
AUTOCAD DRAFTSMAN
Architectural Draftpersons & Office Assistant
BIM/ CAD Technician
Trainee Project Manager
Construction Estimator
Executive Administrator
Project Management/Logistics-Furniture Company
Engineer
Junior Architect
"Technical Director, P.E."
MEP Electrical Engineer -Low Voltage/IT/AV- 3+ years
Architectural Firm Seeking DOB Class 2 Filing Representative
Mechanical Engineer
Project Engineer (NIGHTS)
Expediter - Codes/Zoning
Project Manager
Estimator/Asst. Project Manager
Architectural Design Firm Seeking Experienced Associate Architect
Junior Architect - Restoration Firm
Junior Architect
BKLYN Based Design/Construction Firm Seeks Sr. Construction Mgr.
Energy Efficiency Engineers
Mid Level Mechanical Engineers (2+ Years) with Project Management
Sr. Project Plumbing and FP Engineers
Sr. Mechanical/HVAC Engineers
JOB CAPTAIN / INTERMEDIATE ARCHITECT
Design Architect
Senior Technical Architect
Intern Level Architect needed
Construction Project Manager
"NYS Licensed Design Professional, Architect or Professional Engineer"
NYC DOB Filing Representative Needed ASAP
